"","STU_ID","X1PAR1EDU","X1PAR2EDU","X1MTHID","X2MTHID"
"579",10624,2,2,-1.13,-0.96
"580",10625,-8,-8,-0.57,-8
"581",10626,3,2,0.6,0.16
"582",10627,2,-7,-1.73,-8
"583",10628,2,1,0.6,0.7
"584",10629,2,2,-0.53,-1.54
"585",10630,-8,-8,0.56,1.24
"586",10632,2,2,0.6,1.82
"587",10633,-8,-8,-1.13,-1.54
"588",10634,2,3,0.6,-0.42
"589",10635,5,5,1.19,0.16
"590",10636,-8,-8,-1.73,-0.42
"591",10637,4,3,0.6,0.7
"592",10639,-8,-8,-1.13,-0.96
"593",10640,-8,-8,-1.73,-0.42
"594",10641,-8,-8,-8,1.82
"595",10642,-8,-8,-1.16,0.16
"596",10643,2,1,-1.13,-0.42
"597",10644,2,2,-0.57,-1.54
"598",10645,4,-7,-1.73,0.7
"599",10646,-8,-8,-0.57,-1.54
"600",10647,4,-7,1.76,0.7
"601",10649,2,4,-1.73,-0.42
"602",10650,4,4,-0.57,-1.54
"603",10651,2,2,-8,0.7
"604",10652,2,2,0.6,0.7
"605",10653,4,4,-0.53,-0.42
"606",10654,3,1,1.19,0.75
"607",10655,4,4,0.63,0.7
"608",10656,1,1,-1.16,0.12
"609",10657,-8,-8,-0.57,-8
"610",10658,-8,-8,-8,-1.54
"611",10659,2,-7,1.16,0.7
"612",10660,3,4,1.16,-8
"613",10661,5,4,0.6,0.7
"614",10662,4,5,-0.57,0.12
"615",10663,-8,-8,0.6,-0.42
"616",10664,2,2,-0.57,-0.42
"617",10665,-8,-8,-0.57,-8
"618",10666,4,4,0.6,1.24
"619",10667,-8,-8,-0.57,-0.42
"620",10668,3,3,-0.57,0.7
"621",10669,4,4,0,0.7
"622",10670,-8,-8,-0.57,-0.42
"623",10671,4,-7,0.6,-0.42
"624",10672,3,-7,-0.57,1.24
"625",10673,2,1,0.6,0.7
"626",10674,4,5,-1.73,-1.54
"627",10675,-8,-8,0.6,0.7
"628",10677,3,4,-1.13,-1.54
"629",10678,-8,-8,-1.13,-1.54
"630",10679,-8,-8,-1.73,-8
"631",10680,2,4,-0.57,-0.42
"632",10681,-8,-8,-8,0.7
"633",10683,-8,-8,-1.73,-8
"634",10684,3,1,-1.13,-1.54
"635",10685,-8,-8,0.6,-1.54
"636",10686,-8,-8,0.6,0.16
"637",10687,4,4,0.03,0.7
"638",10688,2,2,1.76,1.24
"639",10689,2,-7,0.6,0.7
"640",10690,4,4,-1.73,-0.42
"641",10691,2,-7,-0.57,0.7
"642",10692,-8,-8,-1.73,-0.42
"643",10693,2,2,-1.16,0.16
"644",10694,-8,-8,1.16,1.82
"645",10695,5,2,0.6,0.7
"646",10696,3,4,0.03,-0.42
"647",10697,-8,-8,0.03,1.82
"648",10699,-8,-8,-1.16,-8
"649",10700,5,-7,0,0.7
"650",10701,4,3,0.6,0.16
"651",10702,-8,-8,-8,0.7
"652",10703,-8,-8,-0.57,-8
"653",10704,-8,-8,1.76,0.7
"654",10705,4,4,-0.57,0.7
"655",10706,4,2,1.76,0.7
"656",10707,2,2,-0.57,0.7
"657",10708,3,3,0.6,0.7
"658",10709,-8,-8,0.03,0.7
"659",10711,2,3,0,0.12
"660",10712,2,-7,-1.13,-1.54
"661",10713,4,4,0.6,0.7
"662",10714,-8,-8,0.03,-0.42
